Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
09/01/2023,UPI-BOOKMYSHOW-bookmyshow@ybl-YESB0000345-429521357933-Payment,429521357933,09/01/2023,242.13,,-23097.42
10/01/2023,UPI-BSES RAJDHANI POWER-bsesrajdhani@sbi-SBIN0000441-475877177880-ElectricityBill,475877177880,10/01/2023,1568.65,,-24666.07
10/01/2023,UPI-PARKING FEE-smartparking@paytm-PYTM0002211-414513794697-Payment,414513794697,10/01/2023,34.79,,-24700.86
10/01/2023,UPI-GOIBIBO-goibibo@hdfcbank-HDFC0000921-374895914879-UPI,374895914879,10/01/2023,1087.46,,-25788.32
10/01/2023,UPI-ZEPTO-zeptonow@icici-ICIC0000201-210726123662-Payment from Phone,210726123662,10/01/2023,460.31,,-26248.63
11/01/2023,UPI-MOHIT ENTERPRISES-mohitent@ybl-YESB0000501-419237646716-Payment from Phone,419237646716,11/01/2023,391.66,,-26640.29
11/01/2023,UPI-ZOMATO-zomato-order@ybl-YESB0000002-493285056095-Payment from Phone,493285056095,11/01/2023,99.16,,-26739.45
12/01/2023,UPI-SHARMA GENERAL STORE-sharmagenstore@paytm-PYTM0123456-269229766184-Payment from Phone,269229766184,12/01/2023,635.08,,-27374.53
13/01/2023,UPI-NYKAA-nykaa@hdfcbank-HDFC0000212-292257825044-Payment,292257825044,13/01/2023,1320.96,,-28695.49
13/01/2023,UPI-CHAI POINT-chaipoint@ybl-YESB0000601-373692938070-Payment,373692938070,13/01/2023,104.82,,-28800.31
13/01/2023,UPI-SHARMA GENERAL STORE-sharmagenstore@paytm-PYTM0123456-458985628445-Payment from Phone,458985628445,13/01/2023,456.80,,-29257.11
13/01/2023,UPI-STREET FOOD STALL-streetfoodstall@ybl-YESB0000722-415446305775-Order Payment,415446305775,13/01/2023,99.31,,-29356.42
13/01/2023,UPI-AMAZON-amazon@apl-AIRP0000001-273181578245-Order Payment,273181578245,13/01/2023,472.62,,-29829.04
13/01/2023,UPI-UBER INDIA-uberindia@hdfcbank-HDFC0000333-460261745032-Order Payment,460261745032,13/01/2023,196.58,,-30025.62
14/01/2023,UPI-RAPIDO-rapido@ybl-YESB0000091-280765210041-Order Payment,280765210041,14/01/2023,94.55,,-30120.17
14/01/2023,UPI-NEW DELHI PROVISION STORE-ndps2019@okhdfcbank-HDFC0002233-353423380285-Order Payment,353423380285,14/01/2023,435.86,,-30556.03
14/01/2023,ECOM PUR/512345XXXXXX7924/AMAZON PRIME,512345XXXXXX7924,14/01/2023,179.00,,-30735.03
14/01/2023,UPI-PRIYA CHAUHAN-priya142@ybl-ICIC0000345-378502649477-For Dinner,378502649477,14/01/2023,616.69,,-31351.72
14/01/2023,UPI-AMIT AGARWAL-amit947@okaxis-SBIN0002211-465202799458-Gift,465202799458,14/01/2023,,73.86,-31277.86
14/01/2023,UPI-PARKING FEE-smartparking@paytm-PYTM0002211-357930990924-UPI,357930990924,14/01/2023,39.85,,-31317.71
14/01/2023,UPI-RAPIDO-rapido@ybl-YESB0000091-464613264023-UPI,464613264023,14/01/2023,177.50,,-31495.21
15/01/2023,UPI-POOJA MEHTA-pooja669@okaxis-UTIB0000567-310168224804-Rent Split,310168224804,15/01/2023,67.73,,-31562.94
15/01/2023,POS 477845XXXXXX2758 MYNTRA NOIDA,477845XXXXXX2758,16/01/2023,1462.27,,-33025.21
15/01/2023,UPI-SHREYA NAIR-shreya506@oksbi-YESB0000789-348039021982-Payment,348039021982,15/01/2023,,142.51,-32882.70
15/01/2023,UPI-AJIO-ajio@ybl-YESB0000078-221129670637-Payment,221129670637,15/01/2023,1429.99,,-34312.69
15/01/2023,UPI-DELHI METRO RAIL CORP-dmrcqr@sbi-SBIN0000556-276324859048-Payment from Phone,276324859048,15/01/2023,38.92,,-34351.61
16/01/2023,UPI-AUTO RICKSHAW-autofare.delhi@okhdfcbank-HDFC0003344-341763255923-Payment,341763255923,16/01/2023,108.17,,-34459.78
16/01/2023,UPI-RAPIDO-rapido@ybl-YESB0000091-267389284063-Order Payment,267389284063,16/01/2023,186.93,,-34646.71
16/01/2023,UPI-TEA STALL-teastall.corner@oksbi-SBIN0009911-378306772724-Payment from Phone,378306772724,16/01/2023,95.61,,-34742.32
16/01/2023,UPI-AMAZON-amazon@apl-AIRP0000001-231079682920-Payment from Phone,231079682920,16/01/2023,1582.43,,-36324.75
16/01/2023,UPI-XEROX PRINT SHOP-xeroxshop@okaxis-UTIB0002299-404465091888-Payment,404465091888,16/01/2023,105.74,,-36430.49
17/01/2023,UPI-AMAZON-amazon@apl-AIRP0000001-238200377344-Payment,238200377344,17/01/2023,1030.12,,-37460.61
17/01/2023,UPI-SWIGGY-swiggy.instamart@icici-ICIC0000104-494517511091-UPI,494517511091,17/01/2023,273.37,,-37733.98
17/01/2023,UPI-DMART READY-dmartready@ybl-YESB0000045-447005181318-Payment from Phone,447005181318,17/01/2023,576.21,,-38310.19
17/01/2023,UPI-PRACTO-practo@icici-ICIC0000901-488114439120-Payment,488114439120,17/01/2023,666.63,,-38976.82
17/01/2023,UPI-DMART READY-dmartready@ybl-YESB0000045-414841868197-Order Payment,414841868197,17/01/2023,419.76,,-39396.58
18/01/2023,POS 477845XXXXXX7948 HP PETROL PUMP SEC-15 MUMBAI,477845XXXXXX7948,19/01/2023,1688.80,,-41085.38
18/01/2023,UPI-RAPIDO-rapido@ybl-YESB0000091-294998806100-Payment,294998806100,18/01/2023,121.68,,-41207.06
18/01/2023,UPI-ROHIT SINGH-rohit212@okhdfcbank-HDFC0000234-219730839900-Loan Return,219730839900,18/01/2023,258.02,,-41465.08
18/01/2023,UPI-SHARMA GENERAL STORE-sharmagenstore@paytm-PYTM0123456-298404476769-Payment,298404476769,18/01/2023,389.49,,-41854.57
18/01/2023,UPI-AUTO RICKSHAW-autofare.delhi@okhdfcbank-HDFC0003344-217664533240-Payment,217664533240,18/01/2023,56.06,,-41910.63
18/01/2023,UPI-DELHI METRO RAIL CORP-dmrcqr@sbi-SBIN0000556-407779764692-Payment from Phone,407779764692,18/01/2023,101.46,,-42012.09
18/01/2023,UPI-FLIPKART-flipkart@axisbank-UTIB0000456-330226265075-Order Payment,330226265075,18/01/2023,1320.81,,-43332.90
19/01/2023,UPI-SHREYA NAIR-shreya138@okaxis-ICIC0000345-312764347654-Payment,312764347654,19/01/2023,,325.89,-43007.01
19/01/2023,UPI-ZOMATO-zomato-order@ybl-YESB0000002-363849642008-Payment,363849642008,19/01/2023,194.42,,-43201.43
19/01/2023,UPI-SWIGGY-swiggy.instamart@icici-ICIC0000104-318364361534-Payment,318364361534,19/01/2023,210.60,,-43412.03
19/01/2023,ECOM PUR/400123XXXXXX5552/HOTSTAR,400123XXXXXX5552,19/01/2023,299.00,,-43711.03
19/01/2023,UPI-HDFC ERGO HEALTH INS-hdfcergo.premium@hdfcbank-HDFC0000777-387962776046-PremiumPayment,387962776046,19/01/2023,10011.05,,-53722.08
19/01/2023,UPI-PAAN SHOP-paanshop.corner@okicici-ICIC0002233-456863852734-Payment from Phone,456863852734,19/01/2023,32.53,,-53754.61
20/01/2023,UPI-XEROX PRINT SHOP-xeroxshop@okaxis-UTIB0002299-369046732604-Order Payment,369046732604,20/01/2023,42.16,,-53796.77
20/01/2023,UPI-XEROX PRINT SHOP-xeroxshop@okaxis-UTIB0002299-337071481644-UPI,337071481644,20/01/2023,84.15,,-53880.92
21/01/2023,UPI-RAPIDO-rapido@ybl-YESB0000091-273741434746-Payment,273741434746,21/01/2023,113.40,,-53994.32
21/01/2023,UPI-CROMA RETAIL-cromaretail@icici-ICIC0000890-360707274114-UPI,360707274114,21/01/2023,203.84,,-54198.16
21/01/2023,UPI-GUPTA KIRANA STORE-guptakirana@oksbi-SBIN0004521-204943634688-UPI,204943634688,21/01/2023,689.78,,-54887.94
21/01/2023,UPI-AGGARWAL TAILORS-aggarwaltailors@okicici-ICIC0001188-242291243239-Payment from Phone,242291243239,21/01/2023,515.44,,-55403.38
21/01/2023,POS 489562XXXXXX1749 BHARAT PETROLEUM MUMBAI,489562XXXXXX1749,22/01/2023,1035.47,,-56438.85
21/01/2023,UPI-THE COFFEE HOUSE-thecoffeehouse@okaxis-UTIB0000789-338888781031-Payment,338888781031,21/01/2023,265.32,,-56704.17
22/01/2023,UPI-UBER INDIA-uberindia@hdfcbank-HDFC0000333-206061652736-Payment from Phone,206061652736,22/01/2023,112.14,,-56816.31
22/01/2023,UPI-AUTO RICKSHAW-autofare.delhi@okhdfcbank-HDFC0003344-364178806783-Payment from Phone,364178806783,22/01/2023,105.93,,-56922.24
22/01/2023,UPI-OXFORD BOOKSTORE-oxfordbooks.cp@sbi-SBIN0003321-232109197410-Payment from Phone,232109197410,22/01/2023,971.61,,-57893.85
22/01/2023,UPI-ZEPTO-zeptonow@icici-ICIC0000201-396774847467-Order Payment,396774847467,22/01/2023,268.68,,-58162.53
22/01/2023,UPI-TEA STALL-teastall.corner@oksbi-SBIN0009911-298396727360-Payment from Phone,298396727360,22/01/2023,107.75,,-58270.28
23/01/2023,UPI-HALDIRAM RESTAURANT-haldiram.cp@oksbi-SBIN0007744-242644193172-Order Payment,242644193172,23/01/2023,523.65,,-58793.93
23/01/2023,UPI-SWIGGY-swiggy.instamart@icici-ICIC0000104-316950956595-Payment,316950956595,23/01/2023,285.44,,-59079.37
23/01/2023,UPI-STREET FOOD STALL-streetfoodstall@ybl-YESB0000722-276191625363-Payment from Phone,276191625363,23/01/2023,93.47,,-59172.84
23/01/2023,UPI-UBER INDIA-uberindia@hdfcbank-HDFC0000333-375451250564-Payment from Phone,375451250564,23/01/2023,77.66,,-59250.50
24/01/2023,UPI-AJIO-ajio@ybl-YESB0000078-300639020612-Payment,300639020612,24/01/2023,842.31,,-60092.81
24/01/2023,POS 512345XXXXXX7383 INOX LEISURE NOIDA,512345XXXXXX7383,25/01/2023,349.59,,-60442.40
24/01/2023,UPI-PRACTO-practo@icici-ICIC0000901-379416052201-Payment from Phone,379416052201,24/01/2023,342.26,,-60784.66
25/01/2023,UPI-NYKAA-nykaa@hdfcbank-HDFC0000212-481555464399-Payment,481555464399,25/01/2023,330.28,,-61114.94
25/01/2023,UPI-BARBEQUE NATION-bbqnation@icici-ICIC0000633-205949551576-Order Payment,205949551576,25/01/2023,444.43,,-61559.37
25/01/2023,UPI-FLIPKART-flipkart@axisbank-UTIB0000456-485924392869-UPI,485924392869,25/01/2023,1245.52,,-62804.89
26/01/2023,UPI-BLINKIT-blinkit.payments@axisbank-UTIB0000123-201308496151-Payment,201308496151,26/01/2023,531.67,,-63336.56
26/01/2023,UPI-LOCAL VEGETABLE VENDOR-vegvendor.rk@oksbi-SBIN0008812-338989973181-UPI,338989973181,26/01/2023,37.60,,-63374.16
27/01/2023,UPI-ZOMATO-zomato-order@ybl-YESB0000002-336502540541-Order Payment,336502540541,27/01/2023,153.15,,-63527.31
27/01/2023,UPI-SWIGGY-swiggy.instamart@icici-ICIC0000104-377384018855-UPI,377384018855,27/01/2023,252.91,,-63780.22
27/01/2023,UPI-SWIGGY-swiggy.instamart@icici-ICIC0000104-215247559778-Payment,215247559778,27/01/2023,111.89,,-63892.11
28/01/2023,UPI-APOLLO PHARMACY-apollopharmacy@hdfcbank-HDFC0000678-365928914838-UPI,365928914838,28/01/2023,692.19,,-64584.30
29/01/2023,UPI-SANJAY BHATIA-sanjay340@apl-UTIB0000567-204749995697-UPI,204749995697,29/01/2023,,790.98,-63793.32
29/01/2023,UPI-SWIGGY-swiggy.instamart@icici-ICIC0000104-396128366845-UPI,396128366845,29/01/2023,269.00,,-64062.32
29/01/2023,UPI-SHARMA GENERAL STORE-sharmagenstore@paytm-PYTM0123456-430604133643-Payment from Phone,430604133643,29/01/2023,518.55,,-64580.87
30/01/2023,UPI-NYKAA-nykaa@hdfcbank-HDFC0000212-391052712400-Payment,391052712400,30/01/2023,692.04,,-65272.91
30/01/2023,UPI-OLA CABS-olacabs@icici-ICIC0000410-296705457461-UPI,296705457461,30/01/2023,57.94,,-65330.85
30/01/2023,UPI-GUPTA KIRANA STORE-guptakirana@oksbi-SBIN0004521-299576462147-Payment,299576462147,30/01/2023,423.44,,-65754.29
30/01/2023,UPI-GUPTA KIRANA STORE-guptakirana@oksbi-SBIN0004521-209084222054-Order Payment,209084222054,30/01/2023,147.02,,-65901.31
30/01/2023,UPI-PARKING FEE-smartparking@paytm-PYTM0002211-247080262701-Payment from Phone,247080262701,30/01/2023,109.77,,-66011.08
31/01/2023,NEFT CR-HDFCN5839318110459-TECHNOVA SOFTWARE SOLUTIONS PVT LTD-SALARY-JAN23,HDFCN5839318110459,31/01/2023,,98714.00,32702.92
31/01/2023,UPI-ZEPTO-zeptonow@icici-ICIC0000201-495802898826-UPI,495802898826,31/01/2023,103.12,,32599.80
31/01/2023,UPI-XEROX PRINT SHOP-xeroxshop@okaxis-UTIB0002299-374543642310-Payment,374543642310,31/01/2023,21.40,,32578.40
31/01/2023,UPI-SPICE GARDEN RESTAURANT-spicegarden22@ybl-YESB0000210-366647365552-Payment from Phone,366647365552,31/01/2023,317.44,,32260.96
01/02/2023,NEFT CR-SBINN5654042565123-TECHNOVA SOFTWARE SOLUTIONS PVT LTD-SALARY-FEB23,SBINN5654042565123,01/02/2023,,99317.00,131577.96
01/02/2023,UPI-SWIGGY-swiggy.instamart@icici-ICIC0000104-412922170661-Payment,412922170661,01/02/2023,117.41,,131460.55
02/02/2023,UPI-BOOKMYSHOW-bookmyshow@ybl-YESB0000345-391938367244-Payment,391938367244,02/02/2023,253.67,,131206.88
02/02/2023,UPI-AIRTEL BROADBAND-airtelbroadband@ybl-YESB0000998-362234093194-BillPayment,362234093194,02/02/2023,1491.61,,129715.27
02/02/2023,UPI-AIRTEL POSTPAID-airtel.postpaid@icici-ICIC0000112-328227613222-BillPayment,328227613222,02/02/2023,838.92,,128876.35
02/02/2023,UPI-XEROX PRINT SHOP-xeroxshop@okaxis-UTIB0002299-262323437128-Payment from Phone,262323437128,02/02/2023,63.76,,128812.59
02/02/2023,UPI-MEERA GUPTA-meera200@apl-UTIB0000567-425464178718-For Dinner,425464178718,02/02/2023,260.14,,128552.45
02/02/2023,UPI-PARKING FEE-smartparking@paytm-PYTM0002211-444951564378-Order Payment,444951564378,02/02/2023,93.01,,128459.44
02/02/2023,UPI-CHAI POINT-chaipoint@ybl-YESB0000601-391427011709-Order Payment,391427011709,02/02/2023,30.66,,128428.78
02/02/2023,UPI-DOMINOS PIZZA-dominos@hdfcbank-HDFC0000601-448429434835-Payment from Phone,448429434835,02/02/2023,389.72,,128039.06
02/02/2023,UPI-PARKING FEE-smartparking@paytm-PYTM0002211-255040782901-UPI,255040782901,02/02/2023,107.90,,127931.16
02/02/2023,UPI-BARBEQUE NATION-bbqnation@icici-ICIC0000633-443606165189-UPI,443606165189,02/02/2023,645.36,,127285.80
03/02/2023,UPI-ZOMATO-zomato-order@ybl-YESB0000002-388069332157-Payment from Phone,388069332157,03/02/2023,199.01,,127086.79
03/02/2023,UPI-RAJESH KUMAR VERMA-rajeshverma78@oksbi-SBIN0001122-452242277328-Rent FEB23,452242277328,03/02/2023,18500.00,,108586.79
03/02/2023,UPI-GUPTA KIRANA STORE-guptakirana@oksbi-SBIN0004521-287195848406-Order Payment,287195848406,03/02/2023,796.99,,107789.80
03/02/2023,UPI-DELHI METRO RAIL CORP-dmrcqr@sbi-SBIN0000556-471492834763-Order Payment,471492834763,03/02/2023,174.52,,107615.28
03/02/2023,UPI-MAKEMYTRIP-makemytrip@icici-ICIC0001002-467974609221-UPI,467974609221,03/02/2023,1028.40,,106586.88
03/02/2023,UPI-AGGARWAL TAILORS-aggarwaltailors@okicici-ICIC0001188-250391665984-Payment,250391665984,03/02/2023,263.16,,106323.72
03/02/2023,UPI-LOCAL VEGETABLE VENDOR-vegvendor.rk@oksbi-SBIN0008812-480903105136-Order Payment,480903105136,03/02/2023,51.42,,106272.30
03/02/2023,UPI-SWIGGY-swiggy.instamart@icici-ICIC0000104-414970789447-Order Payment,414970789447,03/02/2023,105.57,,106166.73
03/02/2023,UPI-APOLLO PHARMACY-apollopharmacy@hdfcbank-HDFC0000678-451003411898-Payment from Phone,451003411898,03/02/2023,92.54,,106074.19
04/02/2023,UPI-XEROX PRINT SHOP-xeroxshop@okaxis-UTIB0002299-204334854435-Order Payment,204334854435,04/02/2023,17.79,,106056.40
05/02/2023,ACH D-CULT FITNESS-MEMBERSHIP-CULTFIT498591,CULTFIT391476,05/02/2023,1499.00,,104557.40
05/02/2023,UPI-PAAN SHOP-paanshop.corner@okicici-ICIC0002233-280217692955-Payment from Phone,280217692955,05/02/2023,87.35,,104470.05
05/02/2023,NWD-512345XXXXXX8210-ICIC0003456-ATM CASH WDL,512345XXXXXX8210,05/02/2023,5000.00,,99470.05
05/02/2023,UPI-LOCAL VEGETABLE VENDOR-vegvendor.rk@oksbi-SBIN0008812-372241939069-Order Payment,372241939069,05/02/2023,48.31,,99421.74
06/02/2023,UPI-DOMINOS PIZZA-dominos@hdfcbank-HDFC0000601-276412092419-UPI,276412092419,06/02/2023,335.86,,99085.88
06/02/2023,UPI-BIGBASKET-bigbasket@hdfcbank-HDFC0000001-255390444937-UPI,255390444937,06/02/2023,580.60,,98505.28
07/02/2023,UPI-GOIBIBO-goibibo@hdfcbank-HDFC0000921-208903432164-Payment from Phone,208903432164,07/02/2023,1823.08,,96682.20
07/02/2023,ACH D-HDFC LTD-HOMELOAN EMI-HDFCLTD26753883,HDFCLTD26753883,07/02/2023,17500.00,,79182.20
07/02/2023,UPI-BIGBASKET-bigbasket@hdfcbank-HDFC0000001-471610901739-Payment,471610901739,07/02/2023,623.49,,78558.71
07/02/2023,UPI-BIGBASKET-bigbasket@hdfcbank-HDFC0000001-401807123815-Order Payment,401807123815,07/02/2023,515.75,,78042.96
07/02/2023,UPI-BARBEQUE NATION-bbqnation@icici-ICIC0000633-366970406396-UPI,366970406396,07/02/2023,537.27,,77505.69
08/02/2023,UPI-AMIT REDDY-amit467@ybl-SBIN0002211-470821048812-UPI,470821048812,08/02/2023,217.91,,77287.78
08/02/2023,UPI-PAYTM WALLET LOAD-paytmwallet@paytm-PYTM0000001-347872823050-Payment from Phone,347872823050,08/02/2023,394.21,,76893.57
08/02/2023,UPI-ZOMATO-zomato-order@ybl-YESB0000002-244677441309-UPI,244677441309,08/02/2023,146.58,,76746.99
08/02/2023,UPI-SHARMA GENERAL STORE-sharmagenstore@paytm-PYTM0123456-416151746640-Payment from Phone,416151746640,08/02/2023,242.24,,76504.75
08/02/2023,ECOM PUR/489562XXXXXX6977/NETFLIX.COM,489562XXXXXX6977,08/02/2023,649.00,,75855.75
08/02/2023,UPI-BLINKIT-blinkit.payments@axisbank-UTIB0000123-261995634965-Payment,261995634965,08/02/2023,767.40,,75088.35
08/02/2023,UPI-PAAN SHOP-paanshop.corner@okicici-ICIC0002233-204807971111-UPI,204807971111,08/02/2023,76.61,,75011.74
08/02/2023,UPI-PARKING FEE-smartparking@paytm-PYTM0002211-402580563333-UPI,402580563333,08/02/2023,105.30,,74906.44
08/02/2023,POS 489562XXXXXX6963 AMAZON BENGALURU,489562XXXXXX6963,09/02/2023,183.78,,74722.66
09/02/2023,POS 489562XXXXXX6241 BOOKMYSHOW NOIDA,489562XXXXXX6241,10/02/2023,349.91,,74372.75
10/02/2023,ACH D-CAMS NPCI-ICICI PRU MF SIP-12342291,12342291,10/02/2023,6000.00,,68372.75
10/02/2023,POS 434358XXXXXX4817 AJIO MUMBAI,434358XXXXXX4817,11/02/2023,983.44,,67389.31
10/02/2023,UPI-MAKEMYTRIP-makemytrip@icici-ICIC0001002-451483612615-Payment from Phone,451483612615,10/02/2023,2192.35,,65196.96
10/02/2023,UPI-CHAI POINT-chaipoint@ybl-YESB0000601-423141071944-Payment from Phone,423141071944,10/02/2023,32.32,,65164.64
10/02/2023,UPI-SWIGGY-swiggy.instamart@icici-ICIC0000104-403856012866-Payment,403856012866,10/02/2023,246.69,,64917.95
11/02/2023,UPI-VIKRAM CHAUHAN-vikram287@okhdfcbank-HDFC0000234-328510895025-Gift,328510895025,11/02/2023,271.85,,64646.10
11/02/2023,UPI-UDEMY-udemy@apl-AIRP0000045-257819035502-UPI,257819035502,11/02/2023,778.16,,63867.94
11/02/2023,UPI-PARKING FEE-smartparking@paytm-PYTM0002211-316137332217-Order Payment,316137332217,11/02/2023,21.99,,63845.95
11/02/2023,UPI-OXFORD BOOKSTORE-oxfordbooks.cp@sbi-SBIN0003321-446179183370-Order Payment,446179183370,11/02/2023,1129.74,,62716.21
11/02/2023,UPI-CHAI POINT-chaipoint@ybl-YESB0000601-272860762696-UPI,272860762696,11/02/2023,92.00,,62624.21
11/02/2023,UPI-VIKRAM BHATIA-vikram789@ybl-HDFC0000234-256502058092-For Dinner,256502058092,11/02/2023,,452.63,63076.84
11/02/2023,UPI-PARKING FEE-smartparking@paytm-PYTM0002211-312115607338-UPI,312115607338,11/02/2023,75.73,,63001.11
11/02/2023,UPI-AUTO RICKSHAW-autofare.delhi@okhdfcbank-HDFC0003344-422580982472-Order Payment,422580982472,11/02/2023,88.10,,62913.01
11/02/2023,POS 400123XXXXXX3848 BHARAT PETROLEUM NEW DELHI,400123XXXXXX3848,12/02/2023,1221.56,,61691.45
12/02/2023,UPI-PARKING FEE-smartparking@paytm-PYTM0002211-425481022551-Payment,425481022551,12/02/2023,71.41,,61620.04
12/02/2023,ACH D-CAMS NPCI-HDFC MF SIP-56785803,56785803,12/02/2023,4000.00,,57620.04
